fw_taxon_id	canonical_name	rank	gbif_taxon_id	inat_taxon_id	worms_aphia_id	wikidata_qid	merged_into	created_on
1000	Aapticheilichthys	genus	8236962	619412				2026-09-13
1001	Aapticheilichthys websteri	species	9536819	619413				2026-09-13
1002	Aaptosyax	genus	2363805	86141				2026-09-13
1003	Aaptosyax grypus	species	2363806	92966				2026-09-13
1004	Abactochromis	genus	4841124	86142				2026-09-13
1005	Abactochromis labrosus	species	5961874	92967				2026-09-13
1006	Abalistes	genus	2407215	86143				2026-09-13
1007	Abalistes filamentosus	species	2407223	529521				2026-09-13
1008	Abalistes stellatus	species	2407216	196872				2026-09-13
1009	Abantennarius	genus		1312944				2026-09-13
1010	Abantennarius analis	species		1316903				2026-09-13
1011	Abantennarius bermudensis	species		1316902				2026-09-13
1012	Abantennarius coccineus	species		1316901				2026-09-13
1013	Abantennarius dorehensis	species		1316900				2026-09-13
1014	Abantennarius drombus	species		1316899				2026-09-13
1015	Abantennarius duescus	species		1316895				2026-09-13
1016	Abantennarius nummifer	species		1316898				2026-09-13
1017	Abantennarius rosaceus	species		1315453				2026-09-13
1018	Abantennarius sanguineus	species		1315624				2026-09-13
1019	Abbottina	genus	2362542	86144				2026-09-13
1020	Abbottina rivularis	species	5206304	128275				2026-09-13
1021	Ablabys	genus	2335194	86146				2026-09-13
1022	Ablabys binotatus	species	2335195	621567				2026-09-13
1023	Ablabys gymnothorax	species	11170259	1314100				2026-09-13
1024	Ablabys macracanthus	species	2335201	470101				2026-09-13
1025	Ablabys pauciporus	species	10028984	1314099				2026-09-13
1026	Ablabys taenianotus	species	2335204	121261				2026-09-13
1027	Ablennes	genus	2369164	86147				2026-09-13
1028	Ablennes hians	species	2369165	135196				2026-09-13
1029	Aboma	genus	2375938	86148				2026-09-13
1030	Aboma etheostoma	species	2375939	92980				2026-09-13
1031	Aborichthys	genus	2358757	86149				2026-09-13
1032	Aborichthys bajpaii	species		1439681				2026-09-13
1033	Aborichthys barapensis	species	11192414	1313200				2026-09-13
1034	Aborichthys boutanensis	species		1316392				2026-09-13
1035	Aborichthys cataracta	species	7923709	617832				2026-09-13
1036	Aborichthys elongatus	species	2358761	92981				2026-09-13
1037	Aborichthys garoensis	species	2358758	92982				2026-09-13
1038	Aborichthys iphipaniensis	species	11114438	1313902				2026-09-13
1039	Aborichthys kailashi	species	10548977	1313706				2026-09-13
1040	Aborichthys kempi	species	2358763	92983				2026-09-13
1041	Aborichthys palinensis	species	12221090	1359944				2026-09-13
1042	Aborichthys pangensis	species	11166481	1313708				2026-09-13
1043	Aborichthys tikaderi	species	2358454	186992				2026-09-13
1044	Aborichthys verticauda	species	8411882	617834				2026-09-13
1045	Aborichthys waikhomi	species	7577385	617835				2026-09-13
1046	Abramis	genus	2363407	86150				2026-09-13
1047	Abramis brama	species	9809222	92984				2026-09-13
1048	Abramis brama bergi	subspecies		1443560				2026-09-13
1049	Abramis brama danubii	subspecies		1443559				2026-09-13
1050	Abramis brama orientalis	subspecies		1443553				2026-09-13
1051	Abramis brama sinegorensis	subspecies		1443561				2026-09-13
1052	Abramites	genus	2355542	84419				2026-09-13
1053	Abramites eques	species	2355543	608080				2026-09-13
1054	Abramites hypselonotus	species	2355545	84411				2026-09-13
1055	Abudefduf	genus	2398621	48312				2026-09-13
1056	Abudefduf abdominalis	species	2398692	49400				2026-09-13
1057	Abudefduf bengalensis	species	2398657	337754				2026-09-13
1058	Abudefduf caudobimaculatus	species		871277				2026-09-13
1059	Abudefduf concolor	species	2398689	92987				2026-09-13
1060	Abudefduf conformis	species	2398622	619600				2026-09-13
1061	Abudefduf declivifrons	species	2398662	92988				2026-09-13
1062	Abudefduf hoefleri	species	2398675	122102				2026-09-13
1063	Abudefduf lorenzi	species	2398679	181014				2026-09-13
1064	Abudefduf margariteus	species	2398699	619601				2026-09-13
1065	Abudefduf natalensis	species	2398674	559948				2026-09-13
1066	Abudefduf nigrimargo	species	9780224	871270				2026-09-13
1067	Abudefduf notatus	species	2398703	345719				2026-09-13
1068	Abudefduf saxatilis	species	2398623	49402				2026-09-13
1069	Abudefduf septemfasciatus	species	2398628	337753				2026-09-13
1070	Abudefduf sexfasciatus	species	2398669	49401				2026-09-13
1071	Abudefduf sordidus	species	2398682	123922				2026-09-13
1072	Abudefduf sparoides	species	2398625	474803				2026-09-13
1073	Abudefduf taurus	species	2398664	57338				2026-09-13
1074	Abudefduf troschelii	species	2398672	92989				2026-09-13
1075	Abudefduf vaigiensis	species	2398634	49403				2026-09-13
1076	Abudefduf whitleyi	species	2398633	481478				2026-09-13
1077	Abyssoberyx	genus	2410287	86151				2026-09-13
1078	Abyssoberyx levisquamosus	species	2410288	494081				2026-09-13
1079	Abyssobrotula	genus	2345949	86152				2026-09-13
1080	Abyssobrotula galatheae	species	2345950	491309				2026-09-13
1081	Abyssobrotula hadropercularis	species	8585350	1135523				2026-09-13
1082	Abyssocottus	genus	2335935	86153				2026-09-13
1083	Abyssocottus elochini	species	2335938	607787				2026-09-13
1084	Abyssocottus fuscus	species	11187680	1313761				2026-09-13
1085	Abyssocottus gibbosus	species	2335936	607788				2026-09-13
1086	Abyssocottus korotneffi	species	2335939	607789				2026-09-13
1087	Abyssocottus pumilus	species	11119121	1313762				2026-09-13
1088	Abyssocottus subulatus	species		1315849				2026-09-13
1089	Acanthaluteres	genus	2406695	86159				2026-09-13
1090	Acanthaluteres brownii	species	2406699	530366				2026-09-13
1091	Acanthaluteres spilomelanurus	species	2406696	353497				2026-09-13
1092	Acanthaluteres vittiger	species	2406702	353494				2026-09-13
1093	Acanthanectes	genus	2392788	86160				2026-09-13
1094	Acanthanectes hystrix	species	2392789	445577				2026-09-13
1095	Acanthanectes rufus	species	2392790	445578				2026-09-13
1096	Acanthaphritis	genus	2389137	86161				2026-09-13
1097	Acanthaphritis barbata	species	2389138	530151				2026-09-13
1098	Acanthaphritis grandisquamis	species	2389145	530152				2026-09-13
1099	Acanthaphritis ozawai	species	2389142	530153				2026-09-13
1100	Acanthaphritis unoorum	species	2389144	619081				2026-09-13
1101	Acantharchus	genus	2394539	86162				2026-09-13
1102	Acantharchus pomotis	species	2394540	93011				2026-09-13
1103	Acanthemblemaria	genus	2381368	86165				2026-09-13
1104	Acanthemblemaria aceroi	species	11214690	1313546				2026-09-13
1105	Acanthemblemaria aspera	species	2381384	131510				2026-09-13
1106	Acanthemblemaria atrata	species	2381373	93027				2026-09-13
1107	Acanthemblemaria balanorum	species	2381376	93028				2026-09-13
1108	Acanthemblemaria betinensis	species	2381391	445579				2026-09-13
1109	Acanthemblemaria castroi	species	2381381	93029				2026-09-13
1110	Acanthemblemaria chaplini	species	2381380	147100				2026-09-13
1111	Acanthemblemaria crockeri	species	2381377	93030				2026-09-13
1112	Acanthemblemaria exilispinus	species	2381372	93031				2026-09-13
1113	Acanthemblemaria greenfieldi	species	2381375	316922				2026-09-13
1114	Acanthemblemaria hancocki	species	2381370	93032				2026-09-13
1115	Acanthemblemaria harpeza	species	2381371	445580				2026-09-13
1116	Acanthemblemaria hastingsi	species	5962015	445581				2026-09-13
1117	Acanthemblemaria johnsoni	species	2381378	445582				2026-09-13
1118	Acanthemblemaria macrospilus	species	2381392	93033				2026-09-13
1119	Acanthemblemaria mangognatha	species	2381389	93034				2026-09-13
1120	Acanthemblemaria maria	species	2381369	179865				2026-09-13
1121	Acanthemblemaria medusa	species	2381390	147101				2026-09-13
1122	Acanthemblemaria paula	species	2381394	445583				2026-09-13
1123	Acanthemblemaria rivasi	species	2381379	445584				2026-09-13
1124	Acanthemblemaria spinosa	species	2381382	192654				2026-09-13
1125	Acanthemblemaria stephensi	species	2381388	93035				2026-09-13
1126	Acanthicus	genus	2339325	86167				2026-09-13
1127	Acanthicus adonis	species	5202069	616096				2026-09-13
1128	Acanthicus hystrix	species	5202070	616097				2026-09-13
1129	Acanthistius	genus	2388063	86169				2026-09-13
1130	Acanthistius brasilianus	species	2388066	93039				2026-09-13
1131	Acanthistius cinctus	species	2388070	447796				2026-09-13
1132	Acanthistius fuscus	species	2388081	620549				2026-09-13
1133	Acanthistius joanae	species	5853330	620550				2026-09-13
1134	Acanthistius ocellatus	species	2388075	93040				2026-09-13
1135	Acanthistius pardalotus	species	2388082	530805				2026-09-13
1136	Acanthistius patachonicus	species	2388064	620551				2026-09-13
1137	Acanthistius paxtoni	species	2388074	530806				2026-09-13
1138	Acanthistius pictus	species	2388072	93041				2026-09-13
1139	Acanthistius sebastoides	species	2388078	620552				2026-09-13
1140	Acanthistius serratus	species	2388068	530807				2026-09-13
1141	Acanthobrama	genus	2360145	86170				2026-09-13
1142	Acanthobrama centisquama	species	2360169	93042				2026-09-13
1143	Acanthobrama hadiyahensis	species	2360168	494091				2026-09-13
1144	Acanthobrama lissneri	species	2360162	93044				2026-09-13
1145	Acanthobrama marmid	species	2360149	445585				2026-09-13
1146	Acanthobrama microlepis	species	7762008	445586				2026-09-13
1147	Acanthobrama orontis	species	8003443	612452				2026-09-13
1148	Acanthobrama persidis	species	8315786	612453				2026-09-13
1149	Acanthobrama telavivensis	species	2360159	93045				2026-09-13
1150	Acanthobrama thisbeae	species	7500744	612454				2026-09-13
1151	Acanthobrama tricolor	species	2360166	445587				2026-09-13
1152	Acanthobrama urmianus	species	8052369	612455				2026-09-13
1153	Acanthobunocephalus	genus	2340535	86171				2026-09-13
1154	Acanthobunocephalus nicoi	species	2340536	608646				2026-09-13
1155	Acanthobunocephalus scruggsi	species	11128388	1313588				2026-09-13
1156	Acanthocepola	genus	2379520	86172				2026-09-13
1157	Acanthocepola abbreviata	species	2379521	529741				2026-09-13
1158	Acanthocepola indica	species	2379524	609972				2026-09-13
1159	Acanthocepola krusensternii	species	2379527	529742				2026-09-13
1160	Acanthocepola limbata	species	2379526	529743				2026-09-13
1161	Acanthochaenus	genus	2410277	86173				2026-09-13
1162	Acanthochaenus luetkenii	species	2410278	621068				2026-09-13
1163	Acanthocharax	genus	2353905	86174				2026-09-13
1164	Acanthocharax microlepis	species	2353906	610090				2026-09-13
1165	Acanthochromis	genus	7734741	86175				2026-09-13
1166	Acanthochromis polyacanthus	species	5212126	319335				2026-09-13
1167	Acanthocleithron	genus	2344158	86176				2026-09-13
1168	Acanthocleithron chapini	species	2344159	93048				2026-09-13
1169	Acanthoclinus	genus	2389809	64484				2026-09-13
1170	Acanthoclinus fuscus	species	5210338	410713				2026-09-13
